SK_ID_CURR,TARGET
100001,0.09
100005,0.15
100013,0.09
100028,0.07
100038,0.19
100042,0.24
100057,0.11
100065,0.17
100066,0.15
100067,0.19
100074,0.22
100090,0.1
100091,0.14
100092,0.24
100106,0.14
100107,0.21
100109,0.14
100117,0.27
100128,0.18
100141,0.16
100150,0.1
100168,0.13
100169,0.21
100170,0.08
100171,0.11
100172,0.19
100184,0.22
100187,0.15
100212,0.17
100222,0.17
100223,0.15
100232,0.14
100241,0.32
100245,0.11
100253,0.12
100256,0.24
100271,0.21
100278,0.32
100280,0.14
100306,0.2
100311,0.27
100312,0.23
100330,0.16
100331,0.1
100352,0.21
100358,0.15
100367,0.19
100382,0.22
100384,0.12
100385,0.25
100386,0.15
100399,0.13
100404,0.17
100416,0.17
100422,0.26
100426,0.09
100438,0.13
100444,0.33
100445,0.09
100446,0.21
100447,0.23
100450,0.33
100466,0.17
100483,0.12
100484,0.17
100494,0.18
100510,0.17
100512,0.21
100517,0.08
100548,0.21
100551,0.1
100552,0.19
100553,0.13
100561,0.23
100568,0.44
100569,0.12
100591,0.12
100592,0.12
100602,0.14
100607,0.16
100613,0.24
100617,0.17
100618,0.26
100622,0.2
100625,0.23
100677,0.16
100699,0.17
100702,0.39
100711,0.25
100729,0.15
100740,0.17
100744,0.28
100745,0.11
100747,0.2
100751,0.4
100752,0.23
100753,0.3
100754,0.23
100760,0.09
100762,0.11
100763,0.2
100765,0.15
100770,0.09
100772,0.12
100777,0.11
100791,0.05
100792,0.1
100797,0.1
100823,0.19
100826,0.08
100830,0.07
100836,0.25
100872,0.14
100910,0.17
100913,0.22
100918,0.17
100931,0.06
100952,0.12
100953,0.19
100965,0.36
100970,0.16
100982,0.21
100983,0.33
100984,0.13
100987,0.21
100997,0.08
100998,0.23
101002,0.15
101005,0.23
101008,0.16
101020,0.17
101021,0.08
101024,0.28
101025,0.23
101026,0.12
101031,0.15
101041,0.09
101051,0.11
101055,0.17
101056,0.4
101057,0.12
101064,0.18
101079,0.27
101087,0.13
101090,0.18
101092,0.2
101097,0.18
101099,0.05
101107,0.22
101118,0.19
101125,0.16
101126,0.07
101128,0.14
101136,0.25
101140,0.23
101149,0.21
101160,0.13
101169,0.3
101181,0.2
101186,0.09
101190,0.14
101193,0.22
101194,0.33
101198,0.19
101200,0.11
101204,0.08
101211,0.22
101213,0.21
101223,0.1
101225,0.21
101237,0.19
101243,0.24
101244,0.24
101258,0.2
101259,0.25
101268,0.19
101269,0.16
101271,0.29
101279,0.15
101281,0.31
101287,0.08
101292,0.13
101294,0.17
101296,0.18
101297,0.12
101299,0.12
101301,0.1
101305,0.24
101308,0.16
101318,0.16
101327,0.22
101329,0.13
101332,0.23
101337,0.18
101343,0.08
101345,0.1
101346,0.11
101353,0.07
101354,0.2
101355,0.15
101356,0.08
101362,0.16
101363,0.22
101365,0.11
101366,0.22
101367,0.25
101368,0.06
101374,0.22
101380,0.14
101383,0.18
101398,0.13
101399,0.29
101401,0.24
101412,0.14
101426,0.07
101427,0.46
101428,0.37
101429,0.24
101434,0.16
101440,0.17
101448,0.14
101449,0.11
101465,0.17
101467,0.1
101472,0.21
101478,0.24
101497,0.2
101504,0.24
101547,0.11
101548,0.16
101555,0.21
101570,0.11
101572,0.13
101578,0.15
101580,0.28
101588,0.36
101602,0.1
101610,0.32
101614,0.22
101616,0.17
101643,0.12
101644,0.17
101649,0.23
101650,0.11
101665,0.11
101667,0.25
101669,0.2
101674,0.16
101675,0.1
101678,0.17
101682,0.15
101686,0.09
101697,0.33
101700,0.27
101711,0.2
101714,0.1
101715,0.27
101728,0.18
101732,0.24
101757,0.15
101758,0.12
101759,0.14
101762,0.04
101764,0.15
101780,0.41
101784,0.14
101789,0.11
101816,0.26
101819,0.16
101827,0.08
101863,0.12
101867,0.13
101870,0.12
101873,0.35
101878,0.2
101879,0.19
101880,0.13
101887,0.11
101897,0.22
101901,0.15
101903,0.31
101920,0.13
101921,0.07
101922,0.21
101961,0.14
101962,0.16
101971,0.17
101976,0.27
102002,0.3
102005,0.13
102007,0.34
102017,0.11
102019,0.27
102029,0.1
102051,0.28
102052,0.08
102054,0.07
102062,0.12
102067,0.28
102068,0.17
102070,0.19
102090,0.28
102092,0.1
102099,0.15
102100,0.08
102112,0.19
102113,0.12
102122,0.3
102123,0.2
102125,0.11
102126,0.21
102146,0.11
102147,0.27
102151,0.08
102158,0.19
102159,0.09
102162,0.17
102165,0.16
