SK_ID_CURR,TARGET
100001,0.24
100005,0.3
100013,0.19
100028,0.19
100038,0.27
100042,0.19
100057,0.14
100065,0.21
100066,0.13
100067,0.25
100074,0.24
100090,0.14
100091,0.22
100092,0.24
100106,0.2
100107,0.33
100109,0.17
100117,0.24
100128,0.16
100141,0.17
100150,0.13
100168,0.24
100169,0.19
100170,0.11
100171,0.21
100172,0.33
100184,0.19
100187,0.25
100212,0.31
100222,0.24
100223,0.22
100232,0.18
100241,0.19
100245,0.26
100253,0.14
100256,0.26
100271,0.23
100278,0.38
100280,0.21
100306,0.32
100311,0.33
100312,0.26
100330,0.31
100331,0.22
100352,0.21
100358,0.17
100367,0.2
100382,0.34
100384,0.18
100385,0.27
100386,0.2
100399,0.16
100404,0.22
100416,0.18
100422,0.28
100426,0.14
100438,0.08
100444,0.31
100445,0.18
100446,0.17
100447,0.17
100450,0.32
100466,0.17
100483,0.2
100484,0.16
100494,0.27
100510,0.23
100512,0.23
100517,0.17
100548,0.22
100551,0.18
100552,0.25
100553,0.2
100561,0.25
100568,0.4
100569,0.19
100591,0.28
100592,0.2
100602,0.17
100607,0.26
100613,0.29
100617,0.28
100618,0.25
100622,0.29
100625,0.28
100677,0.38
100699,0.11
100702,0.3
100711,0.28
100729,0.26
100740,0.3
100744,0.31
100745,0.19
100747,0.26
100751,0.33
100752,0.23
100753,0.32
100754,0.22
100760,0.26
100762,0.13
100763,0.21
100765,0.23
100770,0.21
100772,0.15
100777,0.13
100791,0.18
100792,0.13
100797,0.13
100823,0.21
100826,0.16
100830,0.16
100836,0.31
100872,0.15
100910,0.17
100913,0.24
100918,0.21
100931,0.17
100952,0.16
100953,0.17
100965,0.33
100970,0.21
100982,0.26
100983,0.36
100984,0.15
100987,0.33
100997,0.23
100998,0.25
101002,0.16
101005,0.3
101008,0.33
101020,0.14
101021,0.16
101024,0.29
101025,0.36
101026,0.3
101031,0.15
101041,0.21
101051,0.12
101055,0.11
101056,0.36
101057,0.13
101064,0.22
101079,0.24
101087,0.13
101090,0.14
101092,0.22
101097,0.18
101099,0.16
101107,0.25
101118,0.29
101125,0.21
101126,0.17
101128,0.17
101136,0.22
101140,0.29
101149,0.21
101160,0.16
101169,0.33
101181,0.21
101186,0.2
101190,0.27
101193,0.27
101194,0.31
101198,0.3
101200,0.19
101204,0.15
101211,0.23
101213,0.26
101223,0.21
101225,0.14
101237,0.23
101243,0.27
101244,0.28
101258,0.21
101259,0.31
101268,0.26
101269,0.17
101271,0.28
101279,0.14
101281,0.18
101287,0.16
101292,0.2
101294,0.13
101296,0.26
101297,0.16
101299,0.25
101301,0.17
101305,0.26
101308,0.22
101318,0.13
101327,0.25
101329,0.11
101332,0.15
101337,0.18
101343,0.17
101345,0.16
101346,0.15
101353,0.11
101354,0.29
101355,0.22
101356,0.2
101362,0.13
101363,0.26
101365,0.14
101366,0.21
101367,0.29
101368,0.07
101374,0.24
101380,0.09
101383,0.14
101398,0.09
101399,0.33
101401,0.27
101412,0.16
101426,0.31
101427,0.32
101428,0.33
101429,0.27
101434,0.22
101440,0.22
101448,0.14
101449,0.18
101465,0.18
101467,0.18
101472,0.19
101478,0.33
101497,0.28
101504,0.22
101547,0.15
101548,0.22
101555,0.23
101570,0.14
101572,0.25
101578,0.26
101580,0.19
101588,0.36
101602,0.14
101610,0.26
101614,0.21
101616,0.15
101643,0.2
101644,0.28
101649,0.18
101650,0.25
101665,0.14
101667,0.26
101669,0.26
101674,0.2
101675,0.1
101678,0.19
101682,0.16
101686,0.14
101697,0.43
101700,0.32
101711,0.17
101714,0.15
101715,0.32
101728,0.31
101732,0.17
101757,0.25
101758,0.1
101759,0.15
101762,0.14
101764,0.21
101780,0.36
101784,0.12
101789,0.08
101816,0.23
101819,0.23
101827,0.11
101863,0.22
101867,0.23
101870,0.11
101873,0.29
101878,0.15
101879,0.23
101880,0.12
101887,0.1
101897,0.19
101901,0.23
101903,0.38
101920,0.18
101921,0.21
101922,0.24
101961,0.18
101962,0.19
101971,0.27
101976,0.25
102002,0.21
102005,0.18
102007,0.44
102017,0.27
102019,0.39
102029,0.23
102051,0.24
102052,0.14
102054,0.12
102062,0.21
102067,0.31
102068,0.22
102070,0.31
102090,0.27
102092,0.18
102099,0.22
102100,0.2
102112,0.27
102113,0.15
102122,0.34
102123,0.22
102125,0.18
102126,0.35
102146,0.16
102147,0.31
102151,0.18
102158,0.19
102159,0.19
102162,0.21
102165,0.13
102166,0.15
102174,0.14
102193,0.33
102198,0.24
102205,0.2
102206,0.16
102218,0.21
102221,0.15
102230,0.16
102238,0.2
102248,0.23
102252,0.31
102259,0.19
102262,0.26
102273,0.25
102286,0.25
102293,0.11
102294,0.15
102296,0.16
102298,0.16
102303,0.21
102309,0.21
102315,0.17
102340,0.14
102342,0.25
102344,0.23
102346,0.18
102347,0.26
102374,0.28
102380,0.08
102387,0.24
102393,0.23
102403,0.2
102413,0.19
102414,0.16
102415,0.19
102416,0.19
102439,0.14
102441,0.17
102443,0.14
102444,0.23
102445,0.23
102448,0.16
102449,0.18
102450,0.29
102456,0.14
102458,0.24
102459,0.18
102465,0.15
102470,0.26
102471,0.14
102475,0.18
102476,0.19
102506,0.26
102509,0.05
102519,0.3
102522,0.25
102545,0.18
102549,0.11
102562,0.2
102563,0.23
102568,0.32
102582,0.18
102592,0.09
102597,0.29
102605,0.17
102614,0.17
102617,0.26
102634,0.19
102652,0.12
102655,0.13
102671,0.22
102694,0.23
102701,0.17
102703,0.1
102704,0.21
102713,0.2
102720,0.18
102731,0.18
102733,0.23
102749,0.2
102755,0.18
102763,0.17
102770,0.23
102772,0.26
102799,0.26
102838,0.18
102854,0.23
102862,0.2
102863,0.21
102867,0.18
102868,0.19
102878,0.16
102887,0.16
102898,0.35
102904,0.24
102912,0.22
102919,0.19
102927,0.27
102932,0.24
102933,0.23
102935,0.14
102958,0.14
102969,0.24
102971,0.19
102975,0.12
102979,0.23
102982,0.18
102987,0.26
102989,0.2
102995,0.29
102996,0.28
103000,0.15
103001,0.32
103004,0.22
103010,0.11
103025,0.27
103029,0.15
103046,0.23
103056,0.14
103062,0.16
103078,0.17
103083,0.2
103092,0.23
103096,0.23
103097,0.3
103102,0.2
103112,0.3
103132,0.18
103144,0.14
103145,0.17
103146,0.13
103147,0.25
103158,0.2
103171,0.2
103173,0.14
103184,0.15
103195,0.33
103196,0.15
103206,0.11
103230,0.18
103231,0.3
103232,0.19
103239,0.27
103240,0.29
103243,0.15
103252,0.19
103258,0.22
103259,0.29
103279,0.15
103280,0.16
103286,0.22
103287,0.43
103290,0.2
103298,0.17
103315,0.16
103319,0.13
103334,0.27
103336,0.17
103345,0.14
103368,0.14
103371,0.25
103377,0.19
103398,0.17
103404,0.23
103408,0.26
103410,0.21
103418,0.22
103420,0.29
103432,0.19
103433,0.2
103436,0.2
103440,0.1
103453,0.19
103459,0.16
103460,0.23
103461,0.15
103462,0.15
103473,0.28
103474,0.17
103475,0.28
103478,0.18
103480,0.15
103484,0.16
103494,0.27
103513,0.26
103515,0.19
103516,0.29
103525,0.3
103541,0.24
103544,0.16
103562,0.27
103570,0.22
103572,0.3
103574,0.23
103575,0.23
103591,0.14
103594,0.24
103609,0.16
103613,0.16
103614,0.23
103615,0.24
103624,0.2
103625,0.28
103628,0.33
103629,0.15
103647,0.13
103648,0.15
103651,0.2
103658,0.2
103668,0.14
103669,0.16
103676,0.2
103682,0.21
103683,0.18
103689,0.19
103725,0.18
103733,0.29
103744,0.17
103762,0.22
103771,0.35
103773,0.12
103783,0.14
103784,0.18
103808,0.11
103812,0.22
103813,0.21
103814,0.17
103818,0.27
103824,0.1
103828,0.12
103830,0.27
103840,0.17
103842,0.32
103847,0.32
103848,0.18
103851,0.08
103854,0.26
103857,0.33
103861,0.19
103862,0.32
103865,0.23
103870,0.19
103876,0.16
103891,0.48
103908,0.16
103914,0.27
103918,0.2
103940,0.22
103963,0.24
103966,0.26
103971,0.26
103980,0.2
103984,0.27
103985,0.15
103998,0.24
104019,0.07
104026,0.13
104035,0.18
104044,0.29
104045,0.25
104047,0.37
104051,0.18
104058,0.28
104063,0.16
104066,0.22
104087,0.13
104089,0.15
104095,0.15
104098,0.29
104104,0.12
104110,0.29
104120,0.28
104122,0.11
104131,0.13
104132,0.27
104135,0.2
104136,0.22
104149,0.16
104150,0.2
104156,0.24
104165,0.2
104175,0.18
104179,0.22
104184,0.31
104206,0.15
104216,0.33
104230,0.34
104257,0.17
104272,0.17
104273,0.21
104278,0.24
104294,0.22
104295,0.13
104297,0.14
104298,0.22
104308,0.19
104318,0.13
104319,0.2
104320,0.3
104327,0.17
104334,0.21
104344,0.26
104350,0.18
104351,0.2
104354,0.15
104369,0.22
104376,0.15
104381,0.16
104384,0.19
104391,0.13
104394,0.15
104398,0.25
104402,0.09
104408,0.21
104409,0.15
104410,0.23
104412,0.28
104417,0.36
104424,0.26
104426,0.08
104435,0.22
104445,0.19
104458,0.16
104460,0.09
104466,0.19
104472,0.21
104473,0.23
104479,0.15
104480,0.17
104482,0.24
104499,0.18
104501,0.12
104502,0.15
104506,0.13
104510,0.17
104512,0.35
104520,0.23
104528,0.25
104529,0.13
104541,0.14
104578,0.26
104584,0.19
104588,0.25
104602,0.31
104610,0.25
104611,0.19
104618,0.22
104620,0.19
104622,0.15
104624,0.28
104625,0.24
104634,0.31
104639,0.28
104646,0.13
104647,0.18
104652,0.16
104670,0.24
104677,0.14
104685,0.35
104691,0.16
104696,0.21
104699,0.22
104712,0.16
104714,0.19
104717,0.28
104718,0.14
104740,0.19
104741,0.16
104743,0.12
104744,0.2
104747,0.26
104767,0.13
104772,0.33
104776,0.31
104779,0.17
104814,0.18
104815,0.2
104830,0.23
104831,0.34
104833,0.22
104839,0.24
104840,0.17
104860,0.23
104861,0.22
104866,0.17
104870,0.1
104877,0.19
104878,0.08
104879,0.08
104880,0.22
104899,0.17
104906,0.21
104907,0.2
104913,0.26
104916,0.17
104921,0.23
104930,0.08
104931,0.28
104936,0.17
104937,0.19
104942,0.24
104943,0.19
104969,0.28
104972,0.23
104988,0.27
105013,0.19
105015,0.13
105019,0.13
105027,0.23
105030,0.21
105035,0.41
105041,0.2
105051,0.3
105056,0.15
105067,0.48
105071,0.19
105072,0.18
105074,0.27
105091,0.18
105101,0.18
105103,0.16
105134,0.12
105139,0.13
105142,0.24
105146,0.14
105163,0.16
105168,0.2
105172,0.13
105176,0.49
105195,0.15
105196,0.26
105197,0.18
105203,0.12
105223,0.22
105227,0.34
105228,0.22
105230,0.27
105231,0.27
105239,0.23
105242,0.21
105244,0.2
105245,0.12
105248,0.16
105249,0.1
105266,0.18
105271,0.24
105276,0.12
105282,0.2
105292,0.21
105297,0.16
105332,0.23
105333,0.17
105343,0.16
105344,0.22
105345,0.2
105357,0.14
105359,0.22
105366,0.18
105367,0.18
105370,0.13
105377,0.19
105390,0.19
105399,0.14
105403,0.23
105404,0.15
105414,0.1
105417,0.17
105425,0.36
105452,0.24
105454,0.33
105456,0.16
105470,0.05
105471,0.19
105483,0.17
105493,0.12
105508,0.25
105514,0.17
105515,0.08
105528,0.34
105529,0.29
105531,0.24
105532,0.21
105558,0.13
105574,0.16
105578,0.14
105584,0.42
105595,0.22
105617,0.31
105618,0.21
105621,0.21
105625,0.23
105629,0.18
105630,0.18
105634,0.21
105635,0.15
105641,0.12
105647,0.22
105648,0.15
105655,0.2
105657,0.17
105672,0.22
105678,0.25
105682,0.19
105691,0.19
105692,0.15
105706,0.21
105712,0.12
105720,0.19
105734,0.16
105735,0.18
105736,0.24
105737,0.1
105738,0.19
105740,0.21
105744,0.22
105747,0.24
105749,0.25
105754,0.22
105758,0.13
105760,0.29
105767,0.25
105784,0.24
105791,0.19
105802,0.33
105807,0.31
105809,0.15
105816,0.18
105817,0.2
105824,0.16
105832,0.16
105856,0.09
105865,0.27
105899,0.28
105906,0.13
105916,0.18
105923,0.23
105937,0.15
105965,0.16
105966,0.14
105968,0.26
105973,0.17
105976,0.2
105978,0.24
105979,0.21
105991,0.26
105998,0.17
105999,0.13
106000,0.33
106001,0.16
106010,0.16
106011,0.17
106013,0.35
106015,0.12
106026,0.18
106032,0.15
106035,0.28
106040,0.1
106041,0.28
106044,0.17
106053,0.28
106054,0.2
106065,0.38
106081,0.11
106083,0.17
106087,0.26
106090,0.27
106101,0.24
106102,0.21
106109,0.19
106116,0.23
106150,0.19
106155,0.32
106166,0.1
106176,0.18
106189,0.26
106199,0.23
106205,0.24
106206,0.23
106211,0.14
106214,0.26
106216,0.2
106217,0.17
106225,0.16
106249,0.18
106256,0.28
106258,0.18
106261,0.18
106262,0.28
106264,0.13
106271,0.14
106276,0.09
106277,0.21
106286,0.25
106293,0.21
106295,0.16
106296,0.18
106297,0.27
106298,0.16
106311,0.1
106314,0.24
106320,0.16
106334,0.22
106346,0.28
106347,0.18
106349,0.16
106354,0.23
106360,0.12
106373,0.3
106377,0.14
106386,0.27
106387,0.18
106391,0.17
106401,0.42
106411,0.17
106413,0.35
106426,0.18
106427,0.22
106428,0.21
106434,0.2
106438,0.26
106440,0.17
106441,0.1
106452,0.26
106453,0.2
