SK_ID_CURR,TARGET
100001,0.46
100005,0.42
100013,0.39
100028,0.4
100038,0.45
100042,0.38
100057,0.37
100065,0.26
100066,0.39
100067,0.4
100074,0.45
100090,0.34
100091,0.47
100092,0.53
100106,0.45
100107,0.4
100109,0.44
100117,0.42
100128,0.41
100141,0.38
100150,0.35
100168,0.48
100169,0.33
100170,0.36
100171,0.37
100172,0.42
100184,0.44
100187,0.4
100212,0.36
100222,0.33
100223,0.38
100232,0.34
100241,0.36
100245,0.33
100253,0.42
100256,0.35
100271,0.49
100278,0.5
100280,0.3
100306,0.48
100311,0.49
100312,0.39
100330,0.47
100331,0.27
100352,0.38
100358,0.37
100367,0.38
100382,0.35
100384,0.32
100385,0.35
100386,0.42
100399,0.34
100404,0.36
100416,0.43
100422,0.43
100426,0.4
100438,0.33
100444,0.49
100445,0.41
100446,0.39
100447,0.47
100450,0.4
100466,0.33
100483,0.39
100484,0.4
100494,0.4
100510,0.34
100512,0.43
100517,0.41
100548,0.51
100551,0.43
100552,0.39
100553,0.33
100561,0.34
100568,0.36
100569,0.43
100591,0.4
100592,0.36
100602,0.39
100607,0.37
100613,0.46
100617,0.5
100618,0.45
100622,0.29
100625,0.38
100677,0.5
100699,0.37
100702,0.53
100711,0.49
100729,0.46
100740,0.4
100744,0.43
100745,0.39
100747,0.23
100751,0.35
100752,0.42
100753,0.43
100754,0.32
100760,0.41
100762,0.41
100763,0.52
100765,0.35
100770,0.32
100772,0.37
100777,0.36
100791,0.42
100792,0.34
100797,0.34
100823,0.44
100826,0.38
100830,0.39
100836,0.36
100872,0.38
100910,0.3
100913,0.37
100918,0.39
100931,0.31
100952,0.33
100953,0.36
100965,0.49
100970,0.45
100982,0.36
100983,0.5
100984,0.34
100987,0.37
100997,0.39
100998,0.38
101002,0.46
101005,0.53
101008,0.54
101020,0.44
101021,0.39
101024,0.45
101025,0.37
101026,0.55
101031,0.39
101041,0.24
101051,0.37
101055,0.41
101056,0.41
101057,0.35
101064,0.36
101079,0.44
101087,0.36
101090,0.53
101092,0.43
101097,0.41
101099,0.41
101107,0.48
101118,0.46
101125,0.32
101126,0.43
101128,0.4
101136,0.31
101140,0.45
101149,0.3
101160,0.52
101169,0.52
101181,0.48
101186,0.43
101190,0.35
101193,0.42
101194,0.43
101198,0.45
101200,0.35
101204,0.43
101211,0.43
101213,0.42
101223,0.4
101225,0.42
101237,0.46
101243,0.45
101244,0.43
101258,0.53
101259,0.41
101268,0.54
101269,0.33
101271,0.4
101279,0.42
101281,0.52
101287,0.31
101292,0.5
101294,0.48
101296,0.56
101297,0.41
101299,0.41
101301,0.45
101305,0.44
101308,0.46
101318,0.38
101327,0.47
101329,0.36
101332,0.52
101337,0.46
101343,0.37
101345,0.29
101346,0.4
101353,0.36
101354,0.38
101355,0.36
101356,0.41
101362,0.37
101363,0.42
101365,0.4
101366,0.32
101367,0.39
101368,0.34
101374,0.38
101380,0.47
101383,0.38
101398,0.37
101399,0.42
101401,0.47
101412,0.37
101426,0.39
101427,0.38
101428,0.62
101429,0.49
101434,0.42
101440,0.36
101448,0.39
101449,0.4
101465,0.37
101467,0.41
101472,0.38
101478,0.41
101497,0.5
101504,0.45
101547,0.42
101548,0.44
101555,0.42
101570,0.37
101572,0.47
101578,0.4
101580,0.5
101588,0.45
101602,0.4
101610,0.41
101614,0.39
101616,0.34
101643,0.42
101644,0.51
101649,0.34
101650,0.44
101665,0.33
101667,0.36
101669,0.34
101674,0.44
101675,0.39
101678,0.41
101682,0.35
101686,0.43
101697,0.42
101700,0.44
101711,0.42
101714,0.39
101715,0.48
101728,0.39
101732,0.51
101757,0.51
101758,0.34
101759,0.35
101762,0.38
101764,0.32
101780,0.44
101784,0.32
101789,0.37
101816,0.5
101819,0.38
101827,0.37
101863,0.42
101867,0.45
101870,0.37
101873,0.33
101878,0.42
101879,0.48
101880,0.4
101887,0.38
101897,0.5
101901,0.38
101903,0.48
101920,0.4
101921,0.44
101922,0.37
101961,0.44
101962,0.36
101971,0.41
101976,0.36
102002,0.41
102005,0.35
102007,0.41
102017,0.46
102019,0.42
102029,0.39
102051,0.48
102052,0.33
102054,0.39
102062,0.48
102067,0.54
102068,0.5
102070,0.41
102090,0.39
102092,0.43
102099,0.48
102100,0.49
102112,0.42
102113,0.37
102122,0.44
102123,0.44
102125,0.43
102126,0.46
102146,0.4
102147,0.45
102151,0.45
102158,0.45
102159,0.32
102162,0.42
102165,0.28
102166,0.45
102174,0.38
102193,0.32
102198,0.39
102205,0.35
102206,0.37
102218,0.3
102221,0.41
102230,0.5
102238,0.37
102248,0.41
102252,0.47
102259,0.43
102262,0.46
102273,0.43
102286,0.47
102293,0.4
102294,0.33
102296,0.42
102298,0.44
102303,0.43
102309,0.43
102315,0.32
102340,0.48
102342,0.4
102344,0.48
102346,0.38
102347,0.56
102374,0.48
102380,0.48
102387,0.29
102393,0.36
102403,0.37
102413,0.42
102414,0.44
102415,0.41
102416,0.34
102439,0.45
102441,0.33
102443,0.35
102444,0.48
102445,0.41
102448,0.3
102449,0.48
102450,0.46
102456,0.29
102458,0.39
102459,0.36
102465,0.41
102470,0.42
102471,0.31
102475,0.31
102476,0.5
102506,0.35
102509,0.5
102519,0.41
102522,0.35
102545,0.4
102549,0.36
102562,0.4
102563,0.42
102568,0.47
102582,0.45
102592,0.4
102597,0.42
102605,0.42
102614,0.46
102617,0.44
102634,0.35
102652,0.38
102655,0.32
102671,0.41
102694,0.45
102701,0.39
102703,0.29
102704,0.39
102713,0.34
102720,0.48
102731,0.34
102733,0.33
102749,0.46
102755,0.47
102763,0.41
102770,0.28
102772,0.3
102799,0.5
102838,0.41
102854,0.51
102862,0.42
102863,0.48
102867,0.44
102868,0.38
102878,0.37
102887,0.34
102898,0.54
102904,0.32
102912,0.44
102919,0.43
102927,0.39
102932,0.44
102933,0.27
102935,0.46
102958,0.47
102969,0.46
102971,0.4
102975,0.41
102979,0.39
102982,0.35
102987,0.44
102989,0.35
102995,0.45
102996,0.41
103000,0.44
103001,0.43
103004,0.44
103010,0.33
103025,0.44
103029,0.31
103046,0.42
103056,0.46
103062,0.36
103078,0.32
103083,0.45
103092,0.43
103096,0.34
103097,0.32
103102,0.41
103112,0.31
103132,0.46
103144,0.4
103145,0.4
103146,0.35
103147,0.43
103158,0.38
103171,0.44
103173,0.34
103184,0.43
103195,0.45
103196,0.4
103206,0.38
103230,0.46
103231,0.4
103232,0.33
103239,0.38
103240,0.37
103243,0.35
103252,0.39
103258,0.31
103259,0.41
103279,0.41
103280,0.4
103286,0.39
103287,0.35
103290,0.37
103298,0.41
103315,0.39
103319,0.38
103334,0.38
103336,0.45
103345,0.4
103368,0.39
103371,0.45
103377,0.38
103398,0.42
103404,0.4
103408,0.47
103410,0.31
103418,0.42
103420,0.42
103432,0.44
103433,0.44
103436,0.46
103440,0.43
103453,0.4
103459,0.37
103460,0.49
103461,0.37
103462,0.41
103473,0.37
103474,0.33
103475,0.44
103478,0.39
103480,0.42
103484,0.38
103494,0.34
103513,0.34
103515,0.46
103516,0.37
103525,0.43
103541,0.47
103544,0.35
103562,0.48
103570,0.44
103572,0.53
103574,0.39
103575,0.46
103591,0.51
103594,0.48
103609,0.36
103613,0.36
103614,0.38
103615,0.43
103624,0.37
103625,0.47
103628,0.41
103629,0.36
103647,0.42
103648,0.36
103651,0.33
103658,0.41
103668,0.38
103669,0.32
103676,0.44
103682,0.4
103683,0.5
103689,0.38
103725,0.43
103733,0.44
103744,0.38
103762,0.42
103771,0.47
103773,0.43
103783,0.31
103784,0.36
103808,0.45
103812,0.52
103813,0.46
103814,0.37
103818,0.39
103824,0.41
103828,0.4
103830,0.46
103840,0.36
103842,0.27
103847,0.49
103848,0.44
103851,0.33
103854,0.32
